Question_ID,Question_Text,Clean_Text,Predicted_Subject
2007_1_Q01,"A resistance of 2 Ω is connected across one gap of a metre-bridge (the length of the wire is 100 cm) and an unknown resistance, greater than 2Ω, is connected across the other gap. When these resistances are interchanged, the balance point shifts by 20 cm. Neglecting any corrections, the unknown resistance is (Α) 3 Ω (Β) 4 Ω (C) 5 Ω (D) 6Ω",A resistance of is connected across one gap of a metre bridge the length of the wire is cm and an unknown resistance greater than is connected across the other gap When these resistances are interchanged the balance point shifts by cm Neglecting any corrections the unknown resistance is,physics
2007_1_Q02,"In an experiment to determine the focal length (f) of a concave mirror by the u-v method, a student places the object pin A on the principal axis at a distance x from the pole P. The student looks at the pin and its inverted image from a distance keeping his/her eye in line with PA. When the student shifts his/her eye towards left, the image appears to the right of the object pin. Then, (A) x <f (B) f<x<2f (C) x = 2f (D) x > 2f",In an experiment to determine the focal length f of a concave mirror by the u v method a student places the object pin A on the principal axis at a distance x from the pole P The student looks at the pin and its inverted image from a distance keeping his her eye in line with PA When the student shifts his her eye towards left the image appears to the right of the object pin Then x f f x 2f x 2f x 2f,physics
2007_1_Q03,"Two particles of mass m each are tied at the ends of a light string of length 2a. The whole system is kept on a frictionless horizontal surface with the string held tight so that each mass is at a distance 'a' from the center P (as shown in the figure). Now, the mid-point of the string is pulled vertically upwards with a small but constant force F. As a result, the particles move towards each other on the surface. The magnitude of acceleration, when the separation between them becomes 2x, is (A) F / (2m √a²-x²) (B) Fx / (2m √a²-x²) (C) Fx / (2m a) (D) Fa / (2m x)",Two particles of mass m each are tied at the ends of a light string of length 2a The whole system is kept on a frictionless horizontal surface with the string held tight so that each mass is at a distance a from the center P as shown in the figure Now the mid point of the string is pulled vertically upwards with a small but constant force F As a result the particles move towards each other on the surface The magnitude of acceleration when the separation between them becomes 2x is F 2m a x Fx 2m a x Fx 2m a Fa 2m x,physics
2007_1_Q04,"A long, hollow conducting cylinder is kept coaxially inside another long, hollow conducting cylinder of larger radius. Both the cylinders are initially electrically neutral. (A) A potential difference appears between the two cylinders when a charge density is given to the inner cylinder (B) A potential difference appears between the two cylinders when a charge density is given to the outer cylinder (C) No potential difference appears between the two cylinders when a uniform line charge is kept along the axis of the cylinders (D) No potential difference appears between the two cylinders when same charge density is given to both the cylinders",A long hollow conducting cylinder is kept coaxially inside another long hollow conducting cylinder of larger radius Both the cylinders are initially electrically neutral A potential difference appears between the two cylinders when a charge density is given to the inner cylinder A potential difference appears between the two cylinders when a charge density is given to the outer cylinder No potential difference appears between the two cylinders when a uniform line charge is kept along the axis of the cylinders No potential difference appears between the two cylinders when same charge density is given to both the cylinders,physics
2007_1_Q05,"Consider a neutral conducting sphere. A positive point charge is placed outside the sphere. The net charge on the sphere is then, (A) negative and distributed uniformly over the surface of the sphere (B) negative and appears only at the point on the sphere closest to the point charge (C) negative and distributed non-uniformly over the entire surface of the sphere (D) zero",Consider a neutral conducting sphere A positive point charge is placed outside the sphere The net charge on the sphere is then negative and distributed uniformly over the surface of the sphere negative and appears only at the point on the sphere closest to the point charge negative and distributed non uniformly over the entire surface of the sphere zero,physics
2007_1_Q06,"A circuit is connected as shown in the figure with the switch S open. When the switch is closed, the total amount of charge that flows from Y to X is (A) 0 (Β) 54 μC (C) 27 μC (D) 81 μC",A circuit is connected as shown in the figure with the switch S open When the switch is closed the total amount of charge that flows from Y to X is C C C,physics
2007_1_Q07,"A ray of light traveling in water is incident on its surface open to air. The angle of incidence is θ, which is less than the critical angle. Then there will be (A) only a reflected ray and no refracted ray (B) only a refracted ray and no reflected ray (C) a reflected ray and a refracted ray and the angle between them would be less than 180°-2θ (D) a reflected ray and a refracted ray and the angle between them would be greater than 180°-2θ",A ray of light traveling in water is incident on its surface open to air The angle of incidence is which is less than the critical angle Then there will be only a reflected ray and no refracted ray only a refracted ray and no reflected ray a reflected ray and a refracted ray and the angle between them would be less than a reflected ray and a refracted ray and the angle between them would be greater than,physics
2007_1_Q08,"In the options given below, let E denote the rest mass energy of a nucleus and n a neutron. The correct option is (A) E(²³⁶₉₂U) > E(¹³⁷₅₃I) + E(⁹⁷₃⁹Y) + 2E(n) (B) E(²³⁶₉₂U) < E(¹³⁷₅₃I) + E(⁹⁷₃⁹Y) + 2E(n) (C) E(²³⁶₉₂U) < E(¹⁴⁰₅₆Ba) + E(⁹⁴₃₆Kr) + 2E(n) (D) E(²³⁶₉₂U) = E(¹⁴⁰₅₆Ba) + E(⁹⁴₃₆Kr) + 2E(n)",In the options given below let E denote the rest mass energy of a nucleus and n a neutron The correct option is E U E I E Y 2E n E U E I E Y 2E n E U E Ba E Kr 2E n E U E Ba E Kr 2E n,mathematics
2007_1_Q09,The largest wavelength in the ultraviolet region of the hydrogen spectrum is 122 nm. The smallest wavelength in the infrared region of the hydrogen spectrum (to the nearest integer) is (A) 802 nm (B) 823 nm (C) 1882 nm (D) 1648 nm,The largest wavelength in the ultraviolet region of the hydrogen spectrum is nm The smallest wavelength in the infrared region of the hydrogen spectrum to the nearest integer is nm nm nm nm,physics
2007_1_Q10,"STATEMENT-1 A block of mass m starts moving on a rough horizontal surface with a velocity v. It stops due to friction between the block and the surface after moving through a certain distance. The surface is now tilted to an angle of 30° with the horizontal and the same block is made to go up on the surface with the same initial velocity v. The decrease in the mechanical energy in the second situation is smaller than that in the first situation. because STATEMENT-2 The coefficient of friction between the block and the surface decreases with the increase in the angle of inclination. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT A block of mass m starts moving on a rough horizontal surface with a velocity v It stops due to friction between the block and the surface after moving through a certain distance The surface is now tilted to an angle of with the horizontal and the same block is made to go up on the surface with the same initial velocity v The decrease in the mechanical energy in the second situation is smaller than that in the first situation because STATEMENT The coefficient of friction between the block and the surface decreases with the increase in the angle of inclination Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,physics
2007_1_Q11,"STATEMENT-1 In an elastic collision between two bodies, the relative speed of the bodies after collision is equal to the relative speed before the collision. because STATEMENT-2 In an elastic collision, the linear momentum of the system is conserved. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT In an elastic collision between two bodies the relative speed of the bodies after collision is equal to the relative speed before the collision because STATEMENT In an elastic collision the linear momentum of the system is conserved Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,physics
2007_1_Q12,"STATEMENT-1 The formula connecting u, v and f for a spherical mirror is valid only for mirrors whose sizes are very small compared to their radii of curvature. because STATEMENT-2 Laws of reflection are strictly valid for plane surfaces, but not for large spherical surfaces. (A) Statement-1 is True, Statement-2 is True; Statement-2 is a correct explanation for Statement-1 (B) Statement-1 is True, Statement-2 is True; Statement-2 is NOT a correct explanation for Statement-1 (C) Statement-1 is True, Statement-2 is False (D) Statement-1 is False, Statement-2 is True",STATEMENT The formula connecting u v and f for a spherical mirror is valid only for mirrors whose sizes are very small compared to their radii of curvature because STATEMENT Laws of reflection are strictly valid for plane surfaces but not for large spherical surfaces Statement is True Statement is True Statement is a correct explanation for Statement Statement is True Statement is True Statement is NOT a correct explanation for Statement Statement is True Statement is False Statement is False Statement is True,physics
